system:index,vs,.geo
84_0,265.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,218.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,137.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,292.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,264.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,243.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,276.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,235.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,158.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,193.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,308.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,144.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,282.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,302.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,253.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,318.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,287.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,275.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,239.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,237.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,236.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,273.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,234.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,147.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,170.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,319.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,192.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,232.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,290.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,210.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,291.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,239.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,194.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,326.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,257.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,140.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,310.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,172.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,223.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,151.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,287.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,315.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,311.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,145.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,319.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,236.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,218.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,282.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,126.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,153.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,243.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,322.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,251.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,298.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,312.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,156.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,149.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,241.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,238.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,278.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,203.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,198.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,270.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,144.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,256.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,234.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,157.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,215.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,270.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,229.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,277.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,250.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,293.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,261.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,207.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,153.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,195.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,317.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,241.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,191.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,277.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,225.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,223.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,226.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,176.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,237.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,208.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,221.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,199.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,277.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,240.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,292.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,158.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,216.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,276.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,269.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,171.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,254.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,300.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,243.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,225.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,290.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,315.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,220.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,232.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,175.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,208.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,280.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,209.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,247.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,212.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,158.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,276.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,191.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,146.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,140.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,265.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,250.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,295.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,324.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,230.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,320.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,202.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,241.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,296.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,274.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,227.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,213.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,250.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,280.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,225.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
