system:index,Npp,.geo
85_0,0.4495,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.5617,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.36960000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.6154000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.5424,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.4373,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.28190000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.5778,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.4174,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.1216,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,0.6196,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.2434,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.1242,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,0.7857000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.2058,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.4806,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.42510000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.2806,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.47000000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.667,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.5700000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.33290000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.1623,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.6777000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.4158,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,0.3891,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.4132,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.3321,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.5173,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.2756,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.4043,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.4158,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.42860000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,0.36660000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,0.22290000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,0.38320000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,0.6221,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,0.3635,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,0.3396,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,0.33740000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,0.6198,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,0.3542,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,0.16820000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,0.2474,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,0.3005,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,0.6857000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,0.22820000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,0.5125000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,0.5468000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,0.1022,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,0.6189,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,0.546,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,0.42300000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,0.1968,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,0.27940000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,0.3502,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,0.203,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,0.46590000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,0.6229,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,0.5054000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,0.4395,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,0.32780000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,0.513,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,0.43320000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,0.3498,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,0.4622,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,0.2141,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,0.36860000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,0.6034,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,0.319,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,0.3841,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,0.5009,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,0.40280000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,0.3766,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,0.5214,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,0.3168,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,0.2422,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,0.2805,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,0.5428000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,0.5091,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,0.2515,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,0.2466,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,0.3952,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,0.5973,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,0.15940000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,0.35750000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,0.4113,"{""type"":""MultiPoint"",""coordinates"":[]}"
