system:index,vap,.geo
82_0,1703.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,1702.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,1777.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,1359.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,1668.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,1361.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,1204.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,1309.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,1539.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,1590.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,1563.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,1819.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,1607.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,1450.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,1673.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,1620.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,1481.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,1526.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,2053.6666666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,1493.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,1842.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,1380.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,1611.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,1318.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,1658.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,1689.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,1298.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,1213.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,1523.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,1197.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,2071.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,1632.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,1605.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,1551.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,1461.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,1426.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,1643.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,1944.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,1545.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,1660.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,1336.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,1471.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,1249.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,1683.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,1305.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,1415.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,1408.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,1470.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,1535.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,1473.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,1508.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,1598.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,1395.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,1602.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,1879.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,1587.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,1567.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,1593.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,1757.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,1379.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,1638.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,1507.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,1532.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,1390.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,1470.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,1418.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,1602.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,1891.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,1762.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,1591.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,1582.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,1673.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,1632.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,1459.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,1592.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,1570.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,1289.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,1662.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,1672.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,1575.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,1435.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,1780.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
