system:index,rsei,.geo
86_0,0.58756405,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.55145293,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.6944527,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.7340503,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.6302108,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.48319256,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,0.56994605,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,0.4734379,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,0.26663187,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,0.673197,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,0.46202648,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,0.21674795,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,0.67853576,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.460788,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.34979665,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.755214,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.43774527,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.791345,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.6830268,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.7692332,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.3159713,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.24215928,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.6355917,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.7603247,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,0.43317792,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,0.6961071,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.4967239,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.43001157,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.6621686,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.2624425,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.73388714,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.6996256,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,0.5642413,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,0.44306272,"{""type"":""MultiPoint"",""coordinates"":[]}"
