system:index,elevation,.geo
96_0,138,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,135,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,594,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,146,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,343,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,470,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,345,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,457,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,278,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,144,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,1184,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,561,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,148,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,574,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,205,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,516,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,348,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,380,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,214,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,209,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,1078,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,352,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,450,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,360,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,1136,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,823,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,275,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,285,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,252,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,815,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,188,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,171,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,767,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,162,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,425,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,584,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,431,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,150,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,158,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,405,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,125,"{""type"":""MultiPoint"",""coordinates"":[]}"
